# COMPLETENESS CANDIDATES -- generated by scripts/completeness_harvest.py --write
#
# Every line is a route shape or a control template that LinkedIn DREW on a
# page this repository captured, and that no census capability row carries.
# A CANDIDATE, NOT A CENSUS ROW. Nothing here is navigated or allowlisted.
#
# class    PROSE   only census prose or a census table note carries it
#          FAMILY  a census address is its prefix, or it is one's
#                  (relation child-of / parent-of / sibling)
#          NEW     no census address shares its first segment
#          CONTROL a control template no census row carries every word of
# scope    off-app (another linkedin host) | footer (drawn only in LinkedIn's
#          footer landmark) | app | a hand annotation (docs, chrome)
# word_rows  census rows carrying EVERY literal word of the route: the
#          capability may be recorded in words without its address. '-' is
#          the stronger signal: neither the address nor its words
# captures / surfaces  how many captures, and distinct surfaces, drew it
# regions  LinkedIn's own landmarks the address was drawn inside
# is_read_url  the SHIPPED boundary on a name-free spelling, re-taken each run
# known_elsewhere  audit / code / script / test files that name the same shape
# appears_to_be / slice / rw  hand judgement where annotated, else derived
#
# Every variable segment is <entity>, <opaque> or <seg>; controls carry <X> and
# <n>. No id, slug, name or query value is in this file. Exact-value veto: ARMED.
#
# Method and findings: _audit/2026-09-23-completeness-probe.md
# Verdicts (ADMIT / RECORDED / OUT, one per app-scope candidate) are the
# verdict columns of completeness-annotations.tsv; an ADMIT or RECORDED route
# is a census row now and leaves this table. _audit/2026-09-24-lane-y2-admission.md
kind	pattern	class	scope	relation	nearest_census	census_rows	word_rows	slice	rw	rw_basis	captures	surfaces	first_seen	regions	is_read_url	known_elsewhere	query_keys	drawn_as	appears_to_be
address	/ad/start	NEW	chrome	-	-	-	J 8,J 95,J 132,J 134 +16	-	W	path segment 'start'	37	17	fixture/job_detail_shell	nav+section-footer	False	no	trk	Advertising	Advertise: Campaign Manager entry (footer and nav menu)
address	/legal/<opaque>	NEW	docs	-	-	-	P O3	-	R	a navigable page; no write segment	21	9	fixture/job_detail_shell	footer+nav	False	no	-	Community <X> | Professional <X>	Legal and policy pages (community policies and similar)
address	/legal/cookie-policy	NEW	docs	-	-	-	-	-	R	a navigable page; no write segment	3	3	probe-tracker-inprogress	footer	False	no	trk	-	Cookie policy (footer)
address	/legal/copyright-policy	NEW	docs	-	-	-	-	-	R	a navigable page; no write segment	3	3	probe-tracker-inprogress	footer	False	no	trk	-	Copyright policy (footer)
address	/legal/eula	NEW	docs	-	-	-	-	-	R	a navigable page; no write segment	1	1	probe-control-darkmode-hyd	footer	False	no	-	End <X>	End user licence agreement
address	/legal/privacy-policy	NEW	docs	-	-	-	-	-	R	a navigable page; no write segment	4	4	probe-tracker-inprogress	footer	False	no	trk	Privacy <X>	Privacy policy (footer)
address	/legal/user-agreement	NEW	docs	-	-	-	-	-	R	a navigable page; no write segment	4	4	probe-tracker-inprogress	footer	False	no	trk	-	User agreement (footer)
address	/mobile	NEW	chrome	-	-	-	P A23,P N20,N 105,N 107	-	R	a navigable page; no write segment	5	3	probe-newsletters-hyd	section-footer	False	no	-	Get the <X> app	Get the LinkedIn app (footer)
address	/safety/go	NEW	chrome	-	-	-	J 40,N 152	-	R	a navigable page; no write segment	15	6	probe-job-followed-company-hyd	main+none	False	audit+code+test	isSdui,mt,url,urlhash	Open <X> | Apply on company website	External-link interstitial that wraps off-site links ('Apply on company website')
address	about.linkedin.com/	NEW	off-app	-	-	-	-	-	R	a navigable page; no write segment	39	18	fixture/job_detail_shell	footer+nav+section-footer	n/a (host)	no	-	About	Corporate About site
address	business.linkedin.com/advertise	NEW	off-app	-	-	-	-	-	R	a navigable page; no write segment	20	8	fixture/job_detail_shell	nav	n/a (host)	no	src,trk	Marketing <X>	Marketing Solutions site (For Business menu)
address	business.linkedin.com/grow	NEW	off-app	-	-	-	J 114,J 123	-	R	a navigable page; no write segment	20	8	fixture/job_detail_shell	nav	n/a (host)	no	src	Small <X>	Small business site (For Business menu)
address	business.linkedin.com/sales-solutions	NEW	off-app	-	-	-	-	-	R	a navigable page; no write segment	20	8	fixture/job_detail_shell	nav	n/a (host)	no	src,trk,veh	Sales <X>	Sales Solutions site (For Business menu)
address	business.linkedin.com/talent-solutions	NEW	off-app	-	-	-	-	-	R	a navigable page; no write segment	20	8	fixture/job_detail_shell	nav	n/a (host)	no	src,trk,veh	Talent <X>	Talent Solutions site (For Business menu)
address	careers.linkedin.com/	NEW	off-app	-	-	-	-	-	R	a navigable page; no write segment	20	8	fixture/job_detail_shell	nav	n/a (host)	no	-	-	LinkedIn careers site
address	learning.linkedin.com/en-us/<opaque>	NEW	off-app	-	-	-	-	-	R	a navigable page; no write segment	2	1	cap-roleplay-target	none	n/a (host)	no	disableLocaleAutoRedirect,src,trk	Buy for your organization <X> sales	Learning for organisations (sales site)
address	learning.linkedin.com/instructors	NEW	off-app	-	-	-	-	-	R	a navigable page; no write segment	2	1	cap-roleplay-target	footer	n/a (host)	no	src,trk,utm_campaign,utm_medium,utm_source	-	Learning instructors site
address	mobile.linkedin.com/	NEW	off-app	-	-	-	-	-	R	a navigable page; no write segment	20	8	fixture/job_detail_shell	nav	n/a (host)	no	-	Mobile	Mobile apps site
address	premium.linkedin.com/cx/<seg>/<seg>/<opaque>	NEW	off-app	-	-	-	-	P	R	a navigable page; no write segment	3	1	group-feed-permalinks/group-00	main	n/a (host)	no	mcid,src,trk,type,upsellOrderOrigin	See your offers	Premium offers page ('See your offers')
address	safety.linkedin.com/	NEW	off-app	-	-	-	-	-	R	a navigable page; no write segment	20	8	fixture/job_detail_shell	nav	n/a (host)	no	-	Safety <X>	Safety Center site
control	<X> to primary content	CONTROL	a11y	-	-	-	-	-	R	hand judgement from the label	23	11	probe-tracker-saved-hyd	-	-	-	-	1 distinct labels	Skip link (primary content)
control	Activate to view larger image,	CONTROL	app	-	-	-	-	M	R	hand judgement from the label	1	1	group-feed-permalinks/group-00	-	-	-	-	1 distinct labels	Open an image in the viewer -- OUT (lane Y2): an image lightbox on a post -- presentation, not a capability
control	Dismiss <X> to work people you may know promo	CONTROL	app	-	-	-	-	N	W	hand judgement from the label	1	1	cap-rc-badges	-	-	-	-	1 distinct labels	My Network: dismiss a 'people you may know' promo -- OUT (lane Y2): dismisses a promotional card on his own profile ('Connect with people ... Search for people') -- a promo
control	Get <X> faster	CONTROL	chrome	-	-	-	-	J	R	hand judgement from the label	2	1	cap-premium-hub	-	-	-	-	1 distinct labels	Premium upsell ('Get hired faster')
control	Hide list of <X> you are following	CONTROL	app	-	-	-	-	N	R	hand judgement from the label	3	1	group-feed-permalinks/group-00	-	-	-	-	2 distinct labels	Collapse a 'you are following' list (groups, recent) -- OUT (lane Y2): collapses a left-rail list (Recent, Groups) -- a presentation toggle
control	I want to know more!	CONTROL	app	-	-	-	-	-	R	hand judgement from the label	1	1	cap-ct-messaging	-	-	-	-	1 distinct labels	A call to action seen once; purpose not evident from the label -- OUT (lane Y2): the call-to-action button of a sponsored message in the inbox -- an advertiser's promo
control	I'm looking for...	CONTROL	chrome	-	-	-	-	-	R	hand judgement from the label	38	18	probe-groups-menu-hyd	-	-	-	-	2 distinct labels	Global search box placeholder
control	Keyboard <X>	CONTROL	a11y	-	-	-	-	-	R	hand judgement from the label	18	10	probe-groups-menu-hyd	-	-	-	-	1 distinct labels	Keyboard shortcuts
control	Learn more about applicant insights	CONTROL	app	-	-	-	-	J	R	hand judgement from the label	5	3	cap-jobs-recommended	-	-	-	-	1 distinct labels	Premium: applicant insights explainer -- OUT (lane Y2): an explainer for the applicant insights J 121 and J 122 carry -- documentation, not a capability
control	Messaging <X> enter to open the list of conversations.	CONTROL	a11y	-	-	-	-	M	R	hand judgement from the label	18	10	probe-groups-menu-hyd	-	-	-	-	1 distinct labels	Messaging overlay label
control	Public group	CONTROL	app	-	-	-	-	N	R	hand judgement from the label	1	1	group-feed-permalinks/group-00	-	-	-	-	1 distinct labels	Group privacy badge -- OUT (lane Y2): a group's privacy label -- a label, not an act
control	Scroll right	CONTROL	chrome	-	-	-	-	-	R	hand judgement from the label	5	3	cap-jobs-recommended	-	-	-	-	1 distinct labels	Carousel scroll
control	You are on the messaging overlay. <X> enter to open the list of conversations.	CONTROL	a11y	-	-	-	-	M	R	hand judgement from the label	18	10	probe-groups-menu-hyd	-	-	-	-	1 distinct labels	Messaging overlay label
control	see more, <X> reveals content which is already detected by screen readers	CONTROL	a11y	-	-	-	-	-	R	hand judgement from the label	2	1	group-feed-permalinks/group-00	-	-	-	-	1 distinct labels	See-more toggle (screen-reader text)
control	show more, <X> reveals content which is already detected by screen readers	CONTROL	a11y	-	-	-	-	-	R	hand judgement from the label	2	2	cap-collection-top-applicant	-	-	-	-	1 distinct labels	See-more toggle (screen-reader text)
