# BUCKET 3, ONE LINE PER ROW: the page address of every read-direction
# still-GAP row that scripts/census_completion.py counts as "blocked on nothing
# at all", and what the SHIPPED read boundary says about that address.
#
# Method, the class definitions and every finding:
#     _audit/2026-09-23-bucket3-addresses.md
# Checked by scripts/check_read_addresses.py, which re-drives every address
# below through readonly.is_read_url and exits 1 on any disagreement, on any
# bucket-3 row with no line here, on any line for a row that has left the
# bucket, on any source (file, ::SYMBOL, census row) that no longer
# resolves, and -- since 2026-09-23 -- on any row blocked on nothing whose
# page a ruling holds (scripts/ruling_holds.py names those rulings and where
# each binds). census_completion.py counts the class column; it does not
# re-drive.
#
# is_read_url and refusal are MEASUREMENTS, re-taken on every check. Every
# other column is a JUDGEMENT, and each row names its source.
#
# EVERY VARIABLE SEGMENT IS A PLACEHOLDER -- placeholder-org, placeholder-school,
# placeholder-member, placeholder-newsletter, someone-else, 12345, 2-ABCdef123.
# The allowlist patterns accept a SHAPE, not a value, so no verdict depends on
# the value standing there, and no real identifier ever enters this file.
#
# class        ADMITTED | REFUSED | NO-ADDRESS | NEEDS-SESSION | UNDETERMINED
# basis        MEASURED  the address was seen served, or drawn on a live page
#                        or a capture
#              NAMED     written in code, a test, the census or an audit, and
#                        never observed served
#              INFERRED  constructed as representative, by a prior wave or
#                        this one; the row says which
# source_kind  code-symbol | test-fixture | census-prose | prior-audit
# refusal      the shipped refusal's kind, read off assert_read_url:
#              NO-PATTERN | FORBIDDEN[<substring>]+NO-PATTERN
#              | FORBIDDEN[<substring>]+PATTERN-WOULD-ADMIT
# gate         ADMITTED rows only: the first thing past the boundary --
#              READER | PRESS-PERMITTED | MEASURE | BUILT-UNFIRED | PRESS | RULING
#              | STANDING-RULING
#              RULING is a decision nobody has made. STANDING-RULING is one
#              that HAS been made and holds the page; the note cites it as
#              HELD BY `<ID>`. READER and PRESS-PERMITTED are "blocked on
#              nothing", and may never sit on a page a ruling holds.
# also_driven  other addresses the corpus names for the row, each re-driven:
#              <address>=><is_read_url> ; ...
slice	row	dir	class	address	basis	source_kind	source	is_read_url	refusal	gate	also_driven	note
P	L4	R	NEEDS-SESSION	-	-	code-symbol	linkedin_server/readonly.py (newsletters entry comment)	-	-	n/a	https://www.linkedin.com/newsletters/placeholder-newsletter/analytics/=>False ; https://www.linkedin.com/analytics/creator/newsletters/=>False ; https://www.linkedin.com/analytics/newsletter/=>False	Unknown: which address serves newsletter analytics. The shipped boundary says so itself: the per-newsletter spelling is UNMEASURED, the page listing his newsletters links no analytics address, and the row is waiting on a LIVE READ that establishes which address serves. Every candidate the corpus names is driven below and refuses, but a client-side tab on an admitted analytics page is not excluded.
P	L7	R	REFUSED	https://www.linkedin.com/creator-hub/	NAMED	prior-audit	_audit/2026-09-20-the-live-capture.md 12.9	False	NO-PATTERN	n/a	https://www.linkedin.com/analytics/creator/content/=>True	The creator hub's address. The classifier's other candidate (also driven, admitted) was adjudicated NOT the hub: that page's source carries creator-hub 0 times and draws no creator/hub/mode/tools words. L1 2026-09-23: LEFT REFUSED. /creator-hub/ is NAMED only: no capture on disk draws it, the analytics page carries 'creator-hub' zero times, and the live capture's own record says this surface needs a ruling, then an entry, then a load, in that order.
P	L8	R	ADMITTED	https://www.linkedin.com/dashboard/	MEASURED	code-symbol	linkedin_server/readonly.py (the /dashboard/ entry: P L8, drawn as 'Show all analytics')	True	-	MEASURE	https://www.linkedin.com/analytics/=>False ; https://www.linkedin.com/creator-hub/=>False	THE HUB IS /dashboard/, AND THE TIE IS LINKEDIN'S OWN WORDS, not an inference: the tracked profile_topcard_hydrated fixture draws it as a link named 'Show all analytics', and the analytics nav on /analytics/creator/content/ draws it as 'Overview'. ADMITTED 2026-09-23 by lane L1, one anchored line; the tree root /analytics/ and /creator-hub/ (also driven) stay refused. Nothing has loaded it: a live look first (live-lane key overview). Replaces the INFERRED /analytics/ this row carried.
P	M11	R+W	REFUSED	https://www.linkedin.com/resume-builder/	INFERRED	code-symbol	scripts/classify_surface_blockers.py::SURFACE_ADDRESSES (the resume-tools entry)	False	NO-PATTERN	n/a	-	The only address the corpus names, and its own module calls the table a CLAIM, not a derivation. No pattern among the 42 names any resume path, and the capture of the admitted /premium/my-premium/ draws resume/cv/builder 0 times (live capture 12.10). Entitlement unverified. L1 2026-09-23: LEFT REFUSED. The address is inferred and nothing draws it (the premium hub draws resume/cv/builder 0 times), and a builder is a composer-class surface that may autosave.
P	M12	R	REFUSED	https://www.linkedin.com/jobs/application-settings/	INFERRED	prior-audit	_audit/2026-09-21-the-read-triage.md section 5	False	FORBIDDEN[/jobs/application]+NO-PATTERN	n/a	-	Inferred from the sibling row M1 (the recheck tsv marks it SYNTHETIC-REPRESENTATIVE). Refused by the FIRST forbidden substring; reopening it is the operator's (row M1). Whether AI resume feedback renders on an admitted job posting is unmeasured. L1 2026-09-23: LEFT REFUSED. /jobs/application is the forbidden list's FIRST entry, written to stop applying; the address is inferred, and reopening that entry is the operator's (row M1). A carve-out needs a served spelling first.
P	O23	R	NO-ADDRESS	-	-	census-prose	_audit/_census/profile.md row O23	-	-	n/a	-	Derives from a profile WRITE: whether a photo, banner or headline change notifies the network is observed on OTHER accounts after the act, not on any page of his. Measurable only by firing a profile write and watching another account; writes_enabled is False.
P	S1	R	REFUSED	https://www.linkedin.com/in/me/details/featured/	INFERRED	prior-audit	_audit/2026-09-23-completeness-probe.md	False	NO-PATTERN	n/a	-	Drawn on the member's own profile as the Featured card's detail link, in the slug form; the /in/me/ spelling is inferred. Refused with no pattern while sibling /details/ pages are read.
P	S3	R	REFUSED	https://www.linkedin.com/in/me/skill-insights/placeholder-skill/	INFERRED	prior-audit	_audit/2026-09-23-completeness-probe.md	False	NO-PATTERN	n/a	-	Linked from each skill card on the member's own skills page (tracked fixture tests/fixtures/profile_skills.html); the /in/me/ spelling and the skill segment are inferred. Refused with no pattern.
P	S5	R	ADMITTED	https://www.linkedin.com/analytics/search-appearances/	MEASURED	census-prose	_audit/_census/profile.md row S5	True	-	READER	-	The two cards (impressions on one experience entry, recent clicks on a section) are drawn without a press on a page linkedin_search_appearances already loads (captured 2026-09-20). A reader for two cards; the company the first names is an employer and must not be published.
M	M9	R	UNDETERMINED	-	-	prior-audit	_audit/2026-09-20-the-live-capture.md 12.3-12.4	-	-	n/a	https://www.linkedin.com/messaging/=>True	No committed source names a message-requests address. The only admitted messaging address (also driven) redirects INTO one thread LinkedIn chooses and drew no requests entry point (requests 0, message request 0, against focused/unread/starred 1 each); none of the seven sanctioned filter pills is a requests pill. That wave ruled further browser loads useless here: what is missing is an address that LISTS conversations, which is desk work.
M	M28	R+W	UNDETERMINED	-	-	prior-audit	_audit/2026-09-20-the-live-capture.md 12.3-12.4	-	-	n/a	https://www.linkedin.com/messaging/=>True	Same hole as M9 for the VIEW half: archived 0 on the only admitted messaging address, no archive pill among the seven sanctioned, and no address lists conversations. The RESTORE half is a write.
M	M34	R	NEEDS-SESSION	-	-	census-prose	_audit/_census/messaging-and-content.md row M34	-	-	n/a	https://www.linkedin.com/messaging/?keywords=placeholder=>False	Unknown: whether LinkedIn addresses a message search by url at all. If it does, the admitted messaging pattern takes NO query group, so any query spelling refuses (a representative spelling, constructed here, is driven); if it is typing into the box, the press ruling refuses typing outright. Both branches are closed; which one is the real one is unestablished.
M	M49	R	ADMITTED	https://www.linkedin.com/messaging/thread/2-ABCdef123/	MEASURED	census-prose	_audit/_census/messaging-and-content.md row M49	True	-	READER	-	Was held by DO-NOT-OPEN-MESSAGING; lifted by the operator 2026-09-23 18:15 (his ruling (b), registered as WRITE-CLASS-B, lets this server open messaging; OWN-INBOX-READS-COVERED-BY-B puts reading his own inbox, threads included, under (b) with no per-fire go-ahead). For part of 2026-09-23 this line carried gate STANDING-RULING; it is READER again because the ruling that held the page no longer stands. The indicators live in a thread, and /messaging/ is measured to redirect into /messaging/thread/<id> (live capture 12.2). The row's own cell: blocked on a reader plus the cost of opening a thread, not on an address; linkedin_open_messaging already carries that cost for the thread LinkedIn lands on, and documents it (a read receipt may be seen). A reader confined to that landed thread adds no cost; one that CHOOSES a thread by id would be a new decision. Thread id is the synthetic from scripts/_probe_route_vs_surface.py.
M	C29	R	ADMITTED	https://www.linkedin.com/feed/update/urn:li:activity:12345/	INFERRED	code-symbol	scripts/_probe_route_vs_surface.py::CANDIDATES (one post, by permalink)	True	-	MEASURE	https://www.linkedin.com/feed/=>True	Choosing an order is SELECTING an option: a view switch, not a disclosure. VIEW-SWITCH-PRESS-RESTORED (registered 2026-09-23) now permits it when the view is restored and a before/after reading proves it; press.disclose closes by Escape and checks aria-expanded, so a restore-and-prove press is still to be built. MEASURED LIVE (the readers wave's zero-press /feed/ reading, 2026-09-23, its record read by lane L2): no comment-sort control on the feed's first render -- its one sort-class node is the feed-level sort -- and no per-post structure (0 item containers, 0 articles). The permalink, where comments render expanded, is admitted, and for HIS OWN posts it is addressable: linkedin_my_activity_items returned their keys live (M C41, 2026-09-23), as M C42's cell records; for anybody else's post no tool returns one. No capture records the control; the company-root capture's payload carries 380 commentSortOrder state keys. A capture of one of his own permalinks with comments comes first. A reader would return counts and relations only, under FEED-CONTENT-READ-RULING. MEASURE since 2026-09-23; lane L2 had left it PRESS (see _audit/2026-09-23-lane-l2-refused-presses.md).
M	C38	R	ADMITTED	https://www.linkedin.com/analytics/post-summary/urn:li:activity:12345/	MEASURED	census-prose	_audit/_census/messaging-and-content.md row C38	True	-	MEASURE	https://www.linkedin.com/analytics/creator/content/=>True	ADMITTED 2026-09-23 by lane L1: one post's analytics, by its ACTIVITY urn only, closed [0-9]{1,20} digits. The impressions half of this row is now read ELSEWHERE -- linkedin_creator_analytics' per_post field, off the page that already opens (banked as P G6). What keeps this row GAP is the viewer-demographics half, which lives on the per-post page nothing has loaded: a live look first (live-lane key post_summary, with a post id taken from linkedin_my_activity_items), and a reader owes census_shape plus census_redact_rare.
M	C39	R	REFUSED	https://www.linkedin.com/analytics/creator/content/?metricType=x	NAMED	test-fixture	tests/test_analytics_creator_boundary.py (MUST-REFUSE)	False	NO-PATTERN	n/a	-	Tied to this row by the 2026-09-19 read-rows wave (5.1): the comments metric needs ?metricType=. LinkedIn selects a metric that way (chart_labels.py), and the admitted pattern has no query group -- readonly.py states why -- so the comments metric is unreachable at any value; the fixture's value is driven. Same tool and surface as C38, fired live. L1 2026-09-23: LEFT REFUSED. The only metricType value drawn anywhere on disk is IMPRESSIONS -- the default view, already served bare. The comments token has never been drawn, and the jobs-tracker precedent admits a query value only once it is read off an anchor.
M	C48	R	ADMITTED	https://www.linkedin.com/in/me/recent-activity/articles/	NAMED	census-prose	_audit/_census/messaging-and-content.md row C48	True	-	MEASURE	https://www.linkedin.com/pulse/=>False	ADMITTED 2026-09-23 by lane L1 ON A NAMED BASIS, the /in/me/ form only -- the one L1 admission no capture draws (his profile draws the parent /recent-activity/all/ as 'Show all posts'). Admitted on the interests / job-alerts precedent: a self-owned address opened once to learn whether LinkedIn serves it; if it redirects, the line widens nothing. /pulse/ (also driven) stays refused. A live look first (live-lane key articles).
M	C70	R	REFUSED	https://www.linkedin.com/search/results/content/	NAMED	census-prose	_audit/_census/messaging-and-content.md row C70	False	NO-PATTERN	n/a	https://www.linkedin.com/search/results/groups/=>False	Both spellings of this capability's address refuse (row cell, re-measured 2026-09-21). D2 (widen the search admission past people) plus a per-group address; doubly gated. L1 2026-09-23: LEFT REFUSED. Needs D2 AND D1: content search is a keyword search, so a vertical admitted without a keyword ruling buys no row.
M	C83	R	NEEDS-SESSION	-	-	code-symbol	linkedin_server/readonly.py (newsletters entry comment)	-	-	n/a	https://www.linkedin.com/newsletters/placeholder-newsletter/analytics/=>False ; https://www.linkedin.com/analytics/creator/newsletters/=>False ; https://www.linkedin.com/analytics/newsletter/=>False	Same unknown as P L4: which address serves newsletter analytics. readonly.py names this row by id and says it waits on a LIVE READ, not on an allowlist line. census_completion.RULING_BLOCKED_NAMED listed it under D3 (a reasoned allowlist refusal) until 2026-09-23 and no longer does: the shipped comment says the refused spelling was never observed served, so D3 answered either way leaves this row waiting on that live read.
M	C85	R+W	ADMITTED	https://www.linkedin.com/feed/update/urn:li:activity:12345/	NAMED	census-prose	_audit/_census/messaging-and-content.md row C85	True	-	RULING	-	The READ half is poll results, COUNTS on the post, under the feed-content ruling C43 and C74 rest on (counts and relations only). The address source is DECIDED (orchestrator-delegated, 2026-09-23): a poll post's address comes from tool arguments only, and only one of HIS OWN posts is used. NEEDS-TARGET since 2026-09-23 22:15: of the 8 items his profile's activity rail drew, none is a poll (0 poll-shaped nodes live; 0 poll-class nodes and 0 'N votes' phrases in the capture offline), so no target exists and no reader was built (_audit/2026-09-23-live-lane-session-1.md Entry 2). First past the boundary: a poll post of his, or a further call on whose polls may be read -- the gate stays RULING because both are decisions, not builds. UNVERIFIED and never captured: whether per-option results render before voting (a vote is an irreversible write).
M	M53	R	ADMITTED	https://www.linkedin.com/messaging/compose/	MEASURED	census-prose	_audit/_census/messaging-and-content.md row M53	True	-	READER	-	Presence indicators are drawn on the compose window's suggested recipients without a press (captured 2026-09-20), on a page linkedin_compose_fields already loads. Each indicator's accessible name carries the member's name, so a reader keys it to a caller-supplied thread and publishes a closed status word.
M	C93	R	REFUSED	https://www.linkedin.com/search/results/all/	MEASURED	census-prose	_audit/_census/messaging-and-content.md row C93	False	NO-PATTERN	n/a	https://www.linkedin.com/search/results/all/?keywords=%23hiring=>False	Drawn as hashtag links on posts; refused with no pattern, bare and with a hashtag keyword. The search admission covers four closed verticals since D2-SEARCH-VERTICALS-WIDENED (people, companies, groups, events), and all-results is not one of them. GAP AS WHO-WHICH-COUNTS-ARE-NOT-DELIVERY RULES as well (registered 2026-09-24; applied by lane Y2 at its integration): the payload is who and which a search finds. Blocker: the name-free shaper doctrine (_audit/2026-09-05-lead-rulings-round-two.md), pending the operator's question on returning names and titles at runtime. REOPENER: he rules that such reads may return them.
M	C95	R	REFUSED	https://www.linkedin.com/video/event/12345/	INFERRED	census-prose	_audit/_census/messaging-and-content.md row C95	False	NO-PATTERN	n/a	-	Drawn in a notification in the tracked notifications fixture; the id here is invented. Refused with no pattern.
M	C96	R	ADMITTED	https://www.linkedin.com/jobs/view/1234567890/	MEASURED	census-prose	_audit/_census/messaging-and-content.md row C96	True	-	PRESS	-	The badge was drawn on an image on a job posting (captured 2026-09-21); the posting page is admitted and linkedin_job_detail loads it. Opening the badge's panel is a disclosure press whose shape nobody has measured, so the gate is PRESS until it is.
M	C98	R	REFUSED	https://www.linkedin.com/news/story/placeholder-7654321/	INFERRED	census-prose	_audit/_census/messaging-and-content.md row C98	False	NO-PATTERN	n/a	-	Drawn in the right rail as news stories (the live lane's capture, 2026-09-23); the story segment here is invented. Refused with no pattern.
M	C99	R+W	REFUSED	https://www.linkedin.com/games/zip/	MEASURED	census-prose	_audit/_census/messaging-and-content.md row C99	False	NO-PATTERN	n/a	https://www.linkedin.com/games/mini-sudoku/=>False ; https://www.linkedin.com/games/patches/=>False ; https://www.linkedin.com/games/wend/=>False	Four games drawn in the right rail (the live lane's capture, 2026-09-23); every address refused with no pattern. READ HALF: the day's puzzle; WRITE HALF: playing it.
M	C101	R	REFUSED	https://www.linkedin.com/newsletters/1234567890/	INFERRED	census-prose	_audit/_census/messaging-and-content.md row C101	False	NO-PATTERN	n/a	-	Drawn from the subscribed-newsletters list (captured 2026-09-05); the id here is invented. Refused with no pattern; the boundary's newsletters entry waits on a live read of which address serves. GAP AS WHO-WHICH-COUNTS-ARE-NOT-DELIVERY RULES as well (registered 2026-09-24; applied by lane Y2 at its integration): the payload is which editions a newsletter holds. Blocker: the name-free shaper doctrine (_audit/2026-09-05-lead-rulings-round-two.md), pending the operator's question on returning names and titles at runtime. REOPENER: he rules that such reads may return them.
N	61	R	NEEDS-SESSION	-	-	prior-audit	_audit/2026-09-19-the-read-rows.md 5.3	-	-	n/a	https://www.linkedin.com/feed/following/=>False ; https://www.linkedin.com/feed/hashtag/=>False ; https://www.linkedin.com/in/me/details/interests/=>True	Unknown: where followed hashtags are drawn. /feed/following/ refuses on /follow and /feed/hashtag/ has no pattern; /in/me/details/interests/ is admitted but measured to redirect to the profile, and the Interests tabs were measured url-less radios on the COMPANIES tab only -- extending that to hashtags is inference. The two candidates carry opposite verdicts, so the class waits on a look.
N	76	R	ADMITTED	https://www.linkedin.com/in/me/	MEASURED	census-prose	_audit/_census/network.md row 76	True	-	PRESS	-	One [aria-haspopup] and zero menus on /in/me/, so the follow link is behind a built-on-demand menu. The row's cell re-filed it 2026-09-21 as a RULING REQUEST for a SENSITIVITY_BASES entry; IN-ME-NO-BLANKET-BAR (registered 2026-09-23) answers it: no blanket bar on /in/me/, each control judged on evidence, disclosure versus action. On that evidence the trigger is a disclosure shape, one attribute-identified [aria-haspopup]. The shipped gate has not taken the ruling: press.check_basis still refuses /in/me/ with no_sensitivity_basis before anything is read (measured in-process 2026-09-23), so the row waits on press.py, a build, and then on a session -- no longer on a decision. PRESS, unchanged.
N	79	R	ADMITTED	https://www.linkedin.com/search/results/people/?keywords=placeholder	NAMED	code-symbol	linkedin_server/search_results.py::PEOPLE_SEARCH_URL	True	-	RULING	-	GATED RULING 2026-09-24 (lane S, at its integration) UNDER THE WHO RULE (the orchestrator's census call, 03:20): the reader is BUILT -- linkedin_people_search_shape(keywords=...) composes this address from the tool's arguments only (linkedin_server/people_search.py, D1-SEARCH-AS-READS) -- and it publishes COUNTS, while this row's payload is WHO: a person. Blocker: the name-free shaper doctrine (_audit/2026-09-05-lead-rulings-round-two.md: this server does not publish names), pending the operator's question on returning names at runtime. REOPENER: the operator rules that people reads may return who at runtime. PRIOR NOTE, KEPT: D1 is decided: D1-SEARCH-AS-READS (registered 2026-09-23, the orchestrator's delegated call) permits a search keyword as a read -- its value from the tool's arguments only, never one that identifies the operator, at most 5 test searches a session. The pattern admits the query SHAPE; the shipped tool takes no parameter by design, so what remains is a keyword-taking reader, which must answer the 8 of 11 ordinary keywords that trip a forbidden substring with the boundary's own refusal. READER since 2026-09-23; was RULING on D1.
N	80	R	ADMITTED	https://www.linkedin.com/search/results/people/	MEASURED	code-symbol	linkedin_server/search_results.py::PEOPLE_SEARCH_URL	True	-	BUILT-UNFIRED	-	Fired live 2026-09-21 (route half: 18 person_result anchors, landed where sent). The term 'people' read 0; the label-SHAPE reading that would settle it (dom.FILTER_PANEL_JS windowMatch / search_results.read_filters 'decorated') is BUILT and NOT FIRED.
N	81	R	ADMITTED	https://www.linkedin.com/search/results/people/	MEASURED	code-symbol	linkedin_server/search_results.py::PEOPLE_SEARCH_URL	True	-	BUILT-UNFIRED	-	Single-word term read 0, which cannot separate absent from decorated; the All-filters press is refused terminally. The label-SHAPE reading is BUILT and NOT FIRED.
N	82	R	ADMITTED	https://www.linkedin.com/search/results/people/	MEASURED	code-symbol	linkedin_server/search_results.py::PEOPLE_SEARCH_URL	True	-	RULING	-	Matched live (2, stably) and refused: an unscoped selector plus a textContent fallback, and nothing available tells a people filter from a jobs badge without reading the label, which this surface forbids.
N	86	R	ADMITTED	https://www.linkedin.com/search/results/people/	MEASURED	code-symbol	linkedin_server/search_results.py::PEOPLE_SEARCH_URL	True	-	PRESS	-	TERMINAL BY THIS ROUTE: the filter sits in the All-filters panel, whose control carries neither aria-expanded nor aria-haspopup nor an aria-label (measured live twice, _audit/2026-09-21-the-all-filters-press.md), so condition 2 refuses it for good and condition 3 refuses it independently (no basis can be declared for a surface made of other people). No people-search facet for this filter is on record: the query keys of every LinkedIn-authored people-search href in the 25 raw captures and 24 tracked fixtures are activelyHiring, activelyHiringForJobTitles, currentCompany, geoUrn, industry, keywords, origin, pastCompany and schoolFilter (lane L2, 2026-09-23). A spelling, if one exists, would be D1's, and its value a member id.
