# THE JOBS SLICE'S DIRECTION COLUMN, AS A SIDE TABLE: one line per still-GAP
# row of _audit/_census/jobs.md, its direction (R, W or R+W), and -- for every
# row with a read half -- the page address that half needs and what the
# SHIPPED read boundary says about it.
#
# WHY A SIDE TABLE AND NOT A CENSUS COLUMN. _audit/2026-09-21-the-jobs-direction.md
# section 8 argues the census should NOT grow a sixth column: section 2 of
# jobs.md already carries direction per ROW-RANGE with its cost and
# reversibility beside it, and a per-row copy inside the census would drift
# from it. This file is the per-row reading, kept OUTSIDE the census and
# checked against it on every run.
#
# Method, definitions and every finding: _audit/2026-09-23-lane-l3-jobs.md
# Checked by scripts/check_jobs_directions.py, which exits 1 on: a still-GAP
# jobs row with no line or a line for a row that left GAP; a dir_phrase no
# longer written in the row's own capability cell; a dir_basis that section 2
# of jobs.md no longer bears out; an is_read_url, refusal or also_driven
# verdict the live boundary disagrees with; a source that no longer resolves;
# or any break in the vocabulary below. The read-address columns follow
# _audit/_census/read-addresses.tsv exactly, so one reader serves both.
#
# dir          R | W | R+W   (R+W: the row's own text names a read AND a write)
# dir_phrase   the words of the row's own capability cell that decide dir;
#              for R+W, the read word + the write word
# dir_basis    VERB             the phrase decides, and section 2's range
#                               cell agrees or names no single direction
#              VERB-OVER-RANGE  the phrase decides AGAINST a single-direction
#                               range cell in section 2 (recorded, not hidden)
#              COMPOUND         the row names both acts (R+W)
#              RESOLVED         the text alone did not settle it; the note
#                               argues the call
# class        ADMITTED | REFUSED | NO-ADDRESS | NEEDS-SESSION | UNDETERMINED
#              for a row with a read half; WRITE for a row with none
# basis        MEASURED | NAMED | INFERRED   (as read-addresses.tsv)
# source_kind  code-symbol | test-fixture | census-prose | prior-audit
# refusal      the shipped refusal's kind, read off assert_read_url
# gate         ADMITTED rows only: READER | PRESS-PERMITTED | MEASURE |
#              BUILT-UNFIRED | PRESS | RULING   (as read-addresses.tsv)
# also_driven  <address>=><is_read_url> ; ...   each re-driven on every check
#
# EVERY VARIABLE SEGMENT IS A PLACEHOLDER -- placeholder-org, placeholder,
# 1234567890, 12345. The allowlist patterns accept a SHAPE, not a value, so no
# verdict depends on the value standing there.
slice	row	dir	dir_phrase	dir_basis	class	address	basis	source_kind	source	is_read_url	refusal	gate	also_driven	note
J	38	R	Read	VERB	REFUSED	https://www.linkedin.com/jobs/search-results/?keywords=placeholder	MEASURED	prior-audit	_audit/2026-09-05-routes-already-admitted.md	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/alerts/=>True ; https://www.linkedin.com/jobs/search/?keywords=placeholder=>True	LinkedIn's own alert notifications and alert emails link an alert's jobs to the semantic-search route, refused with no pattern (the cited section 3; five such links in the tracked notifications fixture). /jobs/alerts/ lands on the jobs home, which draws no delivered jobs; the classic search (also driven, admitted) re-runs an alert's keywords and returns what matches NOW, which is not the set the alert delivered. The linkedin-jobs skill serves the delivered set from mail.
J	41	W	Subscribe	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 41	-	-	n/a	-	Subscribing changes what LinkedIn sends him. Write lane.
J	54	W	Change	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 54	-	-	n/a	-	A row-level tracker control behind an overflow menu (section 2, 54-56). Write lane.
J	55	W	Add notes	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 55	-	-	n/a	-	A row-level tracker control, as J 54. Write lane.
J	56	R	Filter	VERB-OVER-RANGE	ADMITTED	https://www.linkedin.com/jobs-tracker/?stage=applied	MEASURED	test-fixture	tests/fixtures/jobs_tracker_row.html::Date	True	-	PRESS	https://www.linkedin.com/jobs-tracker/?stage=applied&dateposted=week=>False	The tracker draws its Date posted filter as a label-toggled checkbox with no url of its own (twice on the committed jobs_tracker_row.html, twice on jobs_tracker_empty.html), so the payload's page is the admitted tab and the filter is a PRESS the shipped gate refuses: a checkbox is off press.SANCTIONED_SHAPES, no basis is declared for /jobs-tracker/, and choosing a date range is a selection, not a disclosure. Corrects the 2026-09-21 address, a constructed ?dateposted= spelling (also driven, refused) that nothing shows LinkedIn using. Range 54-56 files W; filtering changes nothing.
J	68	W	Save an application as a draft	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 68	-	-	n/a	-	The Easy Apply modal's own control, behind the multi-step gate that retires J 60. Write lane.
J	70	W	Upload	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 70	-	-	n/a	-	Needs a file-input driver; the set_input_files question is unasked (_audit/2026-09-20-the-sanctioned-seventh.md). Write lane.
J	72	R	Download	VERB	REFUSED	https://www.linkedin.com/jobs/application-settings/	NAMED	census-prose	_audit/_census/jobs.md row 71	False	FORBIDDEN[/jobs/application]+NO-PATTERN	n/a	-	Stored resumes are managed under Job Application Settings (named in J 71's cell), and /jobs/application is a forbidden substring checked before the allowlist, so no pattern edit could reach it. J 71 and J 73 were moved to EXCLUDED-RULED on exactly this gate, which the census names as its own bar for a ruling; J 72 was not, and is a candidate for the same propagation.
J	78	W	drafting	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 78	-	-	n/a	-	Drawn on the posting as the guide-overlay anchor whose query is Create cover letter (committed job-detail fixtures; Amendment A13 of _audit/2026-09-03-linkedin-gap-blockers.md) -- a generation that attaches to an application. Write lane.
J	79	W	Mark	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 79	-	-	n/a	-	Spends a non-refunding monthly credit; not reversible. Write lane.
J	80	W	Attach	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 80	-	-	n/a	-	A message to the poster attached to a Top Choice mark. Write lane.
J	81	W	Verify account	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 81	-	-	n/a	-	Account verification; verification is a forbidden substring. Write lane.
J	82	R	Observe	VERB-OVER-RANGE	REFUSED	https://www.linkedin.com/jobs/view/1234567890/apply/?openSDUIApplyFlow=true	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::openSDUIApplyFlow	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	The limit and rate-pause message belongs to the Easy Apply flow, and the flow's entry on the posting is an ANCHOR to the apply route (drawn on the committed job-detail fixtures), which no pattern admits. Opening it is the first step of an application, apply_job's territory. Whether a limit banner also renders on the posting itself (also driven, admitted) is unmeasured. Range 78-83 files W; the row's own verb is Observe.
J	83	W	Save	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 83	-	-	n/a	-	Persists answers for reuse across applications. Write lane.
J	85	W	Undo	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 85	-	-	n/a	-	Reverses a dismissal; dismiss is on the mutation-verb denylist. Write lane.
J	86	W	signal interest	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 86	-	-	n/a	-	Signals interest to a company, visible to its recruiters. Write lane.
J	98	W	Set / edit / delete	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 98	-	-	n/a	-	Set, edit or delete a pay preference: the settings family. Write lane.
J	100	W	Signal your interest	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 100	-	-	n/a	-	Signals interest to recruiters. Write lane.
J	106	R	About tab	VERB	REFUSED	https://www.linkedin.com/company/placeholder-org/about/	NAMED	code-symbol	linkedin_server/readonly.py	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	readonly.py's company entry names /company/<x>/about/ for this row and the Page pattern takes no sub-path. Two of the three named fields already arrive on the posting (also driven) through linkedin_job_detail's company_about -- size band and industry, read by shape.company_about_card -- and locations do not; half a capability is not a banked row.
J	107	R	see all jobs	VERB	ADMITTED	https://www.linkedin.com/jobs/search/?f_C=12345	MEASURED	code-symbol	linkedin_server/jobfilter.py::COMPANY_FILTER_KEY	True	-	RULING	https://www.linkedin.com/company/placeholder-org/jobs/=>False	SERVED TODAY. See all jobs at this company is linkedin_search_jobs(company_id=...) -- census J 10, COVERED-PROVEN, fired live 2026-09-20 -- and readonly.py's company entry says in its own words that this row does not need the tab (also driven, refused). What keeps it GAP is the question _audit/2026-09-21-the-jobs-direction.md section 6 item 1 leaves unruled: does a row close on its capability or on the surface it names. One ruling from COVERED-PROVEN at zero build cost.
J	108	R	People tab	VERB	REFUSED	https://www.linkedin.com/company/placeholder-org/people/	NAMED	code-symbol	linkedin_server/readonly.py	False	NO-PATTERN	n/a	-	A member roster, refused by the company entry's anchor and by nothing else (bucket 3 drives the same address for N 102). Other people's names are the cause, not the pattern.
J	109	R	Life tab	VERB	REFUSED	https://www.linkedin.com/company/placeholder-org/life/	NAMED	code-symbol	linkedin_server/readonly.py	False	NO-PATTERN	n/a	-	readonly.py's company entry names /company/<x>/life/ for this row; the Page pattern takes no sub-path. The jobs home draws Life-tab anchors for recommended employers (gitignored 2026-09-20 capture).
J	110	R	Home / Posts tabs	VERB	ADMITTED	https://www.linkedin.com/company/placeholder-org/	MEASURED	code-symbol	linkedin_server/company_root.py	True	-	RULING	https://www.linkedin.com/company/placeholder-org/posts/=>False	Home IS the Page root: admitted 2026-09-20 and opened on six Pages 2026-09-21 by linkedin_company_page_counts, whose reader reduces it to connection counts. What the Home and Posts tabs carry is the organisation's own free prose, and shape.company_about_card records the standing decision that such prose is MEASURED AND NOT PUBLISHED, because a person's name can sit inside it and nothing here can clear it. A counts reader would not read the tab; publishing the text needs that decision reopened. The Posts tab (also driven) is refused.
J	111	R	Products / Services tabs	VERB	REFUSED	https://www.linkedin.com/company/placeholder-org/products/	NAMED	code-symbol	linkedin_server/readonly.py	False	NO-PATTERN	n/a	https://www.linkedin.com/company/placeholder-org/services/=>False	readonly.py's company entry names both tab spellings for this row; the Page pattern takes no sub-path.
J	113	R	Insights tab	VERB	REFUSED	https://www.linkedin.com/company/placeholder-org/insights/?insightType=HEADCOUNT	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::insightType	False	NO-PATTERN	n/a	https://www.linkedin.com/company/placeholder-org/insights/=>False	The posting draws this href beside Show Premium Insights (committed job-detail fixtures). The Page pattern takes no sub-path and no query.
J	114	R	Premium Page Insights	VERB	REFUSED	https://www.linkedin.com/company/placeholder-org/insights/?insightType=HEADCOUNT	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::insightType	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	Same tab as J 113. The posting's own Premium company panel (J 123, COVERED-PROVEN, also driven) carried headcount and growth lines on the 2026-09-20 live readings -- a neighbour of two of this row's five fields, not the row.
J	116	R	How you match	VERB	REFUSED	https://www.linkedin.com/preload/guideOverlay/?interop=guideOverlay&query=Show+match+details	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::guideOverlay	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	Show match details on the posting is an ANCHOR into LinkedIn's AI guide overlay, not a disclosure control -- Amendment A13 of _audit/2026-09-03-linkedin-gap-blockers.md measured the anchor, its ten parameters and its two generative siblings, and scripts/_probe_match_details_control.py exists to confirm it live. Its query is a prompt and its href carries a conversation id, so opening it starts a generation rather than a read, and How you match reads 0 on the settled posting (also driven). No pattern admits /preload/guideOverlay/, a sibling of the admitted /preload/sharebox/; the boundary line is the cheap half and the generation is not. THE FLAG ITSELF is derivable today without this surface: set membership in linkedin_premium_job_collection(0), fired live -- the J 116 question _audit/2026-09-21-the-jobs-direction.md left unruled.
J	117	R	How you match	VERB	REFUSED	https://www.linkedin.com/preload/guideOverlay/?interop=guideOverlay&query=Show+match+details	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::guideOverlay	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	Show match details on the posting is an ANCHOR into LinkedIn's AI guide overlay, not a disclosure control -- Amendment A13 of _audit/2026-09-03-linkedin-gap-blockers.md measured the anchor, its ten parameters and its two generative siblings, and scripts/_probe_match_details_control.py exists to confirm it live. Its query is a prompt and its href carries a conversation id, so opening it starts a generation rather than a read, and How you match reads 0 on the settled posting (also driven). No pattern admits /preload/guideOverlay/, a sibling of the admitted /preload/sharebox/; the boundary line is the cheap half and the generation is not.
J	118	R	How you match	VERB	REFUSED	https://www.linkedin.com/preload/guideOverlay/?interop=guideOverlay&query=Show+match+details	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::guideOverlay	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	Show match details on the posting is an ANCHOR into LinkedIn's AI guide overlay, not a disclosure control -- Amendment A13 of _audit/2026-09-03-linkedin-gap-blockers.md measured the anchor, its ten parameters and its two generative siblings, and scripts/_probe_match_details_control.py exists to confirm it live. Its query is a prompt and its href carries a conversation id, so opening it starts a generation rather than a read, and How you match reads 0 on the settled posting (also driven). No pattern admits /preload/guideOverlay/, a sibling of the admitted /preload/sharebox/; the boundary line is the cheap half and the generation is not.
J	119	R	How you match	VERB	REFUSED	https://www.linkedin.com/preload/guideOverlay/?interop=guideOverlay&query=Show+match+details	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::guideOverlay	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	Show match details on the posting is an ANCHOR into LinkedIn's AI guide overlay, not a disclosure control -- Amendment A13 of _audit/2026-09-03-linkedin-gap-blockers.md measured the anchor, its ten parameters and its two generative siblings, and scripts/_probe_match_details_control.py exists to confirm it live. Its query is a prompt and its href carries a conversation id, so opening it starts a generation rather than a read, and How you match reads 0 on the settled posting (also driven). No pattern admits /preload/guideOverlay/, a sibling of the admitted /preload/sharebox/; the boundary line is the cheap half and the generation is not.
J	120	R	How you match	VERB	REFUSED	https://www.linkedin.com/preload/guideOverlay/?interop=guideOverlay&query=Show+match+details	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::guideOverlay	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	Show match details on the posting is an ANCHOR into LinkedIn's AI guide overlay, not a disclosure control -- Amendment A13 of _audit/2026-09-03-linkedin-gap-blockers.md measured the anchor, its ten parameters and its two generative siblings, and scripts/_probe_match_details_control.py exists to confirm it live. Its query is a prompt and its href carries a conversation id, so opening it starts a generation rather than a read, and How you match reads 0 on the settled posting (also driven). No pattern admits /preload/guideOverlay/, a sibling of the admitted /preload/sharebox/; the boundary line is the cheap half and the generation is not.
J	124	R	company intelligence	VERB	NEEDS-SESSION	-	-	census-prose	_audit/_census/jobs.md row 124	-	-	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True ; https://www.linkedin.com/company/placeholder-org/insights/=>False	Unknown: which surface draws AI company intelligence (headcount, openings, strategic priorities). The posting's Premium company panel (J 123, read by dom.read_job_insight_panels) carried headcount and growth lines and no openings or priorities line on the 2026-09-20 live readings; the Page's Insights tab is refused. The candidates disagree, so the class waits on a live look rather than a guess.
J	126	R	job-fit tips	VERB	REFUSED	https://www.linkedin.com/preload/guideOverlay/?interop=guideOverlay&query=Help+me+stand+out	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::guideOverlay	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	The posting's AI tips entry is the guide-overlay anchor whose query is Help me stand out (A13's third sibling). Tying it to this row is this wave's reading of the label, an INFERENCE; the address itself is drawn. Same refusal and same generation class as J 116-J 120.
J	129	W	InMail the job poster	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 129	-	-	n/a	-	Sends an InMail; spends a credit; not reversible. Write lane.
J	131	R	Decide WHO to message	VERB	ADMITTED	https://www.linkedin.com/mynetwork/invite-connect/connections/	MEASURED	prior-audit	_audit/2026-09-21-the-jobs-direction.md	True	-	RULING	https://www.linkedin.com/premium/my-premium/=>True	Both inputs sit on admitted pages -- degree from the connections list, the credit side from the Premium hub (also driven), where the balance itself is MEASURED-ABSENT (J 127). The linkedin-jobs skill already serves this ranking from mail; whether the server should duplicate it is section 6 item 3 of the cited audit, unruled.
J	136	R	Receive	VERB	ADMITTED	https://www.linkedin.com/learning/role-play/scenarios/	MEASURED	prior-audit	_audit/2026-09-20-the-live-capture.md	True	-	MEASURE	-	Opened live 2026-09-20 (section 11 of the cited audit): it serves, and main holds 17 characters, byte-identical over three samples, with no empty-state copy. The payload has never been seen rendered on this account; the leading explanation is the role-play experiment flag reading control, an inference. One re-read when the flag moves.
J	137	R	Receive	VERB	ADMITTED	https://www.linkedin.com/learning/role-play/scenarios/	MEASURED	prior-audit	_audit/2026-09-20-the-live-capture.md	True	-	MEASURE	-	Same page and same finding as J 136: served, 17 characters in main, never rendered on this account.
J	138	R	Receive	VERB	ADMITTED	https://www.linkedin.com/learning/role-play/scenarios/	MEASURED	prior-audit	_audit/2026-09-20-the-live-capture.md	True	-	MEASURE	-	Same page and same finding as J 136: served, 17 characters in main, never rendered on this account.
J	146	W	Upload	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 146	-	-	n/a	-	Uploads a file for analysis; the set_input_files question is open (_audit/2026-09-20-the-sanctioned-seventh.md). Its surface is the resume-resources route the posting draws (see J 147). Write lane.
J	147	R	Receive	VERB	REFUSED	https://www.linkedin.com/job-apply-resources/?jobPostingId=1234567890	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::job-apply-resources	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	Tailor my resume on the posting (also driven) is an ANCHOR to the resume-resources route (committed job-detail fixtures), which no pattern admits. Per a6813101 the insights exist only for an UPLOADED resume, so the payload also sits behind J 146's upload, a write and the open set_input_files question.
J	148	R+W	suggested language + Refine	RESOLVED	REFUSED	https://www.linkedin.com/job-apply-resources/?jobPostingId=1234567890	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::job-apply-resources	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	READ HALF: the suggested language, on the resume-resources route (refused, as J 147). Was AMBIGUOUS in the 2026-09-21 wave: reading the suggestion is a read, and whether accepting it persists to LinkedIn's stored resume is unmeasured, so the refinement is held as the W half rather than guessed away; COMPOUND-ROW-SPLITS-ONLY-ON-STATE files a direction divergence as R+W in the cell. The write lane owns the refinement.
J	149	R+W	Export + attach	COMPOUND	REFUSED	https://www.linkedin.com/job-apply-resources/?jobPostingId=1234567890	MEASURED	test-fixture	tests/fixtures/job_detail_hydrated.html::job-apply-resources	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/view/1234567890/=>True	READ HALF: export is a download of the tailored result, on the resume-resources route (refused, as J 147). Attaching it to an application is the W half and the apply flow.
J	150	W	Send	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 150	-	-	n/a	-	Sends a message to a recruiter; US-only Premium overlay on a compose surface. Write lane.
