# HAND JUDGEMENT LAYER for completeness-candidates.tsv -- read by
# scripts/completeness_harvest.py --write and merged into that table by
# (kind, pattern). Everything here is the lane-Y lead's reading of what LinkedIn
# drew, written 2026-09-23; nothing here is a census row and nothing moves one.
#
# scope   app      a member capability surface
#         chrome   site furniture: skip links, nav badges, footer, carousels
#         docs     Help Center and legal pages: documentation, not capability
#         off-app  another linkedin.com host (corporate, marketing, sales)
# slice   P profile/identity/settings/privacy, N network, J jobs (and the
#         company-page tabs and Premium job features the jobs slice already
#         holds), M messaging and content, - none of the four
# rw      R reads a surface, W changes something or starts a flow that does
# A blank cell keeps the value the instrument derives.
kind	pattern	scope	slice	rw	appears_to_be
control	Change notification preferences	app	M	W	Notification card: change notification preferences
control	City, state, or <X> code	app	J	R	Jobs search: location input
control	Clear search keywords	app	J	R	Jobs search: clear keywords
control	Clear search location	app	J	R	Jobs search: clear location
control	Copy link to group	app	N	R	Groups: copy a group's link -- TRUE GAP [cold-verified]
control	Create cover letter	app	J	W	Jobs AI (Premium): generate a cover letter for a posting
control	Delete notification	app	M	W	Notification card: delete a notification
control	Dismiss <X> to work people you may know promo	app	N	W	My Network: dismiss a 'people you may know' promo
control	Enhance profile	app	P	W	Profile: AI 'Enhance profile' writing assistant
control	Featured overflow menu	app	P	R	Profile Featured section: overflow menu
control	Get <X> faster	chrome	J	R	Premium upsell ('Get hired faster')
control	Hide list of <X> you are following	app	N	R	Collapse a 'you are following' list (groups, recent)
control	Hide or report this ad <X> don't want to see this ad in my feed	app	M	W	Feed ad: hide or report an ad
control	Home, <n> new notification	chrome	-	R	Global nav Home with its badge count
control	Home, <n> new notifications	chrome	-	R	Global nav Home with its badge count
control	I want to know more!	app	-	R	A call to action seen once; purpose not evident from the label
control	I'm looking for...	chrome	-	R	Global search box placeholder
control	Keyboard <X>	a11y	-	R	Keyboard shortcuts
control	Learn more about applicant insights	app	J	R	Premium: applicant insights explainer
control	Mark feedback as <X>	app	J	W	Feedback on an AI answer (thumbs)
control	Mark feedback as good	app	J	W	Feedback on an AI answer (thumbs up)
control	Mark information as <X>	app	J	W	Feedback on an insight (helpful)
control	Mark information as not <X>	app	J	W	Feedback on an insight (not helpful)
control	Mark suggestion as good	app	J	W	Feedback on an AI suggestion
control	Messaging <X> enter to open the list of conversations.	a11y	M	R	Messaging overlay label
control	Open send options	app	M	W	Share: send options (send a post in a message)
control	Open the options list in your conversation with <X>	app	M	R	Messaging: per-conversation options menu
control	Public group	app	N	R	Group privacy badge
control	Rate job tracker as <X>	app	J	W	Feedback on the job tracker -- TRUE GAP [cold-verified]
control	Scroll right	chrome	-	R	Carousel scroll
control	Search by title, skill, or company	app	J	R	Jobs search: keywords box
control	Send in a private message	app	M	W	Share a post in a private message -- TRUE GAP [cold-verified]
control	Set alert for similar jobs as <X>	app	J	W	Create a job alert from one posting ('similar jobs')
control	Share that you're hiring	app	J	W	Hiring: share that you're hiring (#Hiring post)
control	Show all filters. <X> this button displays all available filter options.	app	J	R	Jobs search: the All filters panel
control	Someone recently clicked on your <X>	app	M	R	Notification text: someone clicked on your profile or post
control	Start a post	app	M	W	Share box: start a post
control	Start a post in this group	app	N	W	Groups: start a post in a group
control	Start a public post	app	M	W	Share box: start a public post -- CONTROL ONLY: the capability is census row M C1 [cold-verified]
control	Status is offline <X>	app	M	R	Messaging presence indicator
control	Status is offline <X> group	app	M	R	Messaging presence indicator (group conversation)
control	Status is reachable <X>	app	M	R	Messaging presence indicator
control	Status is reachable <X> <n>	app	M	R	Messaging presence indicator
control	Suggested: <X> <n> participants	app	M	R	Messaging: a suggested group conversation
control	Text editor for creating content	app	M	W	Post composer text editor
control	This image has content <X>	app	M	R	Content credentials badge on an image
control	Type a name or multiple names	app	M	W	Messaging compose: recipients input
control	View verified hiring modal	app	J	R	Verified-hiring badge on a posting
control	You are on the messaging overlay. <X> enter to open the list of conversations.	a11y	M	R	Messaging overlay label
control	You have <n> impressions on your experience at <X>	app	P	R	Profile analytics: impressions on one experience entry
control	more information about <X> viewed your profile	app	P	R	Who's viewed your profile: info tooltip
control	see more, <X> reveals content which is already detected by screen readers	a11y	-	R	See-more toggle (screen-reader text)
control	show more, <X> reveals content which is already detected by screen readers	a11y	-	R	See-more toggle (screen-reader text)
