slice	row	state	class	basis	source
J	115	EXCLUDED-RULED	C	why=NONE; cites=server.py job_detail docstring; note=a docstring saying the tool does not read the hiring team: not a refusal, key, spec or measurement	linkedin_server/server.py#neither is read here
J	127	MEASURED-ABSENT	M+	measurement=InMail balance: three instruments incl. a raw-vs-rendered sweep of 25 captures; evidence=RECORDED; note=tracked in first-firing s4b and live-capture s13.3; scope is the captured corpus	_audit/2026-09-20-the-first-firing.md#Three instruments have now looked, and each one could speak ; _audit/2026-09-20-the-live-capture.md#TWO OF THE WORLD-FACTS WERE RE-VERIFIED TODAY
J	132	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	133	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	134	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	135	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	139	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	140	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	141	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	142	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	143	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	144	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	145	EXCLUDED-RULED	B	family=RETIRE-AI-INTERVIEW-PRODUCT; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.1 `AI-INTERVIEW-PRODUCT` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
P	A23	EXCLUDED-RULED	B	family=RETIRE-MOBILE-APP-ONLY; op=NO; scope=YES; note=retired 2026-09-05 by a wave	_audit/2026-09-05-decide-retire-rulings.md#### 3.9 `MOBILE-APP-ONLY` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
P	A9	EXCLUDED-RULED	B	family=NO-ROUTE-MEASURED; op=NO; scope=EXTENDED; note=measured: no non-press route identifies the control; a WRITE route is unbuilt rather than measured closed	_audit/_census/profile.md#NO ROUTE REMAINS, which is why this is a refusal
P	B10	EXCLUDED-RULED	B	family=SETTINGS-BY-NAME; op=YES; scope=YES; note=a Settings and Privacy page or preference nobody has named (N28/N29 are the two addresses the ruling's own docstring names as its reason)	_audit/2026-08-31-linkedin-finish.md#ONE NAMED settings page below ; linkedin_server/server.py#BY NAME on the operator's ruling
P	B2	EXCLUDED-RULED	C	why=REFUTED; cites=upload ban; note=the operator was asked 2026-09-04 and opened uploads FULLY including profile photo (readonly.py); the cell itself says the package-wide ban is false and rests on the verb being unbuilt, which is not a ground	linkedin_server/readonly.py#He was asked on 2026-09-04 and opened it FULLY ; _audit/_census/profile.md#There is no package-wide ban and has not been since 2026-09-04
P	B3	EXCLUDED-RULED	C	why=REFUTED; cites=upload ban; note=the operator was asked 2026-09-04 and opened uploads FULLY including profile photo (readonly.py); the cell itself says the package-wide ban is false and rests on the verb being unbuilt, which is not a ground	linkedin_server/readonly.py#He was asked on 2026-09-04 and opened it FULLY ; _audit/_census/profile.md#There is no package-wide ban and has not been since 2026-09-04
P	B4	EXCLUDED-RULED	C	why=OVERRULED; cites=bare settings substring; note=INCIDENTAL-CAPTURE-IS-NOT-A-RULING (2026-09-19) names /public-profile/settings and rules these rows stay GAP; moved 2026-09-20 without citing it	_audit/2026-09-19-two-census-conventions-ruled.md#RULED: NO. THEY STAY GAP, WITH THE BLOCKER NAMED PRECISELY. ; _audit/2026-09-19-two-census-conventions-ruled.md#/public-profile/settings is_read_url False
P	B5	EXCLUDED-RULED	C	why=REFUTED; cites=same ruling; note=resolves by position to B4, a different address whose ground the 2026-09-19 ruling overruled; the s6 roll-up's upload ban was lifted by the operator 2026-09-04	linkedin_server/readonly.py#He was asked on 2026-09-04 and opened it FULLY ; _audit/_census/profile.md#B5 backreferences B4
P	B6	EXCLUDED-RULED	B	family=OTW-SPEC-NEVER-LOADED; op=CONTRARY; scope=YES; note=the spec refuses because the editor was never loaded; the 2026-08-25 document written on the operator's ruling moved Open To Work to UNMEASURED, to be measured, not refused	linkedin_server/writes.py#NEVER LOADED ; _audit/2026-08-23-build-linkedin.md#and approved **save/unsave, follow, Open To ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work -- I am OVERTURNING the pre-classification
P	C2	EXCLUDED-RULED	C	why=OVERRULED; cites=bare settings substring; note=INCIDENTAL-CAPTURE-IS-NOT-A-RULING (2026-09-19) names /public-profile/settings and rules these rows stay GAP; moved 2026-09-20 without citing it	_audit/2026-09-19-two-census-conventions-ruled.md#RULED: NO. THEY STAY GAP, WITH THE BLOCKER NAMED PRECISELY. ; _audit/2026-09-19-two-census-conventions-ruled.md#/public-profile/settings is_read_url False
P	C3	EXCLUDED-RULED	C	why=OVERRULED; cites=bare settings substring; note=INCIDENTAL-CAPTURE-IS-NOT-A-RULING (2026-09-19) names /public-profile/settings and rules these rows stay GAP; moved 2026-09-20 without citing it	_audit/2026-09-19-two-census-conventions-ruled.md#RULED: NO. THEY STAY GAP, WITH THE BLOCKER NAMED PRECISELY. ; _audit/2026-09-19-two-census-conventions-ruled.md#/public-profile/settings is_read_url False
P	C4	EXCLUDED-RULED	C	why=OVERRULED; cites=bare settings substring; note=INCIDENTAL-CAPTURE-IS-NOT-A-RULING (2026-09-19) names /public-profile/settings and rules these rows stay GAP; moved 2026-09-20 without citing it	_audit/2026-09-19-two-census-conventions-ruled.md#RULED: NO. THEY STAY GAP, WITH THE BLOCKER NAMED PRECISELY. ; _audit/2026-09-19-two-census-conventions-ruled.md#/public-profile/settings is_read_url False
P	C5	EXCLUDED-RULED	C	why=OVERRULED; cites=bare settings substring; note=INCIDENTAL-CAPTURE-IS-NOT-A-RULING (2026-09-19) names /public-profile/settings and rules these rows stay GAP; moved 2026-09-20 without citing it	_audit/2026-09-19-two-census-conventions-ruled.md#RULED: NO. THEY STAY GAP, WITH THE BLOCKER NAMED PRECISELY. ; _audit/2026-09-19-two-census-conventions-ruled.md#/public-profile/settings is_read_url False
P	C6	EXCLUDED-RULED	C	why=OVERRULED; cites=bare settings substring; note=INCIDENTAL-CAPTURE-IS-NOT-A-RULING (2026-09-19) names /public-profile/settings and rules these rows stay GAP; moved 2026-09-20 without citing it	_audit/2026-09-19-two-census-conventions-ruled.md#RULED: NO. THEY STAY GAP, WITH THE BLOCKER NAMED PRECISELY. ; _audit/2026-09-19-two-census-conventions-ruled.md#/public-profile/settings is_read_url False
P	C7	EXCLUDED-RULED	B	family=SETTINGS-BY-NAME; op=YES; scope=YES; note=a Settings and Privacy page or preference nobody has named (N28/N29 are the two addresses the ruling's own docstring names as its reason)	_audit/2026-08-31-linkedin-finish.md#ONE NAMED settings page below ; linkedin_server/server.py#BY NAME on the operator's ruling
P	D11	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D12	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D13	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D14	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D15	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D16	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D17	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D18	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D19	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D2	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D20	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D21	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D22	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D23	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D26	EXCLUDED-RULED	C	why=NONE; cites=my_profile docstring; note=a docstring saying the tool does not report the meter: not a substring, key, refusing spec or measurement of unreachability	linkedin_server/server.py#profile-strength meter is not exposed
P	D5	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D6	EXCLUDED-RULED	B	family=EDIT-FAMILY; op=CONTRARY; scope=YES; note=an editor on his own profile: the operator ruled 2026-08-31 that the profile editors are allowed; the implementing wave kept /edit/ refusing all but the intro editor (D6's upload half: the ban was lifted 2026-09-04)	linkedin_server/readonly.py#Narrowing was refused ; _audit/2026-08-31-linkedin-finish.md#and the profile editors are allowed
P	D7	EXCLUDED-RULED	B	family=SETTINGS-BY-NAME; op=YES; scope=YES; note=a Settings and Privacy page or preference nobody has named (N28/N29 are the two addresses the ruling's own docstring names as its reason)	_audit/2026-08-31-linkedin-finish.md#ONE NAMED settings page below ; linkedin_server/server.py#BY NAME on the operator's ruling
