row_id	blocker	evidence_class	source	locator	state_at_freeze	state_today	capability	note	reason_doc
J 19	SEARCH-HISTORY-SURFACE	RECON-CENSUS-COMMITTED	_audit/_census/jobs.md	18-19	GAP	GAP	Recent searches: clear history	SWAPPED IN 2026-09-19, replacing N 95/N 96. THE LEDGER CHARGES THIS BLOCKER allowlist +1, denylist x1, WriteSpec, 1R/1W (2026-09-03-linkedin-gap-blockers.md:244) and jobs.md:428 states ALL FOUR for rows 18-19: 'a new read surface (/jobs/search-history/ or equivalent) on the allowlist; the clear is a destructive verb and delete/remove are on the mutation-verb' denylist -- a read plus a destructive write, which is the 1R/1W. THE ROWS IT REPLACES CANNOT SATISFY THAT CHARGE: network.md:583 prices N 95/N 96 inside 'People search + 13 filters', rows 79-96, an EIGHTEEN-row family marked READ and costed as 'One allowlist pattern for /search/results/people/ plus a query builder, and a person-card parser' -- no denylist, no WriteSpec, and no write at all. A READ-only pair cannot be a 1R/1W pair. The prior filing (settings-tail:222) states its own method as count-plus-split, which the jobs pair matches equally, so the standing rival rule voids it. N 95/N 96 are RELEASED TO UNASSIGNED rather than re-homed: their slice puts them in SEARCH-RESULTS-SURFACE, but that blocker reads COMPLETE 21/21 only because a later reconstruction carved them out to make the count land, so re-homing them would push it to 23 of 21 and FAIL the build. Where they belong is a separate question, now open and stated.	CANDIDATE-1-OF-10 SCORE-4 _audit/2026-09-19-the-row-walk.md
J 24	CLOSED-SINCE-CENSUS	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L127,L644	GAP	COVERED-PROVEN	Hirer responsiveness: review-time estimate, "Responses managed off LinkedIn"	section 2b and Amendment A1 both list the seven	CANDIDATE-1-OF-14 SCORE-10 _audit/2026-09-23-bucket1-fires.md
J 25	PANEL-NOT-OBSERVED	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L474,L1028	GAP	EXCLUDED-RULED	"Why am I seeing this job?"	section 6 table plus Amendment A13	CANDIDATE-1-OF-9 SCORE-10 _audit/2026-09-03-linkedin-gap-blockers.md
J 26	CLOSED-SINCE-CENSUS	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L127,L644	GAP	COVERED-PROVEN	"Promoted by hirer" labelling on a result	section 2b and Amendment A1 both list the seven	CANDIDATE-1-OF-14 SCORE-10 _audit/2026-09-23-bucket1-fires.md
J 27	CLOSED-SINCE-CENSUS	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L128,L644	GAP	COVERED-PROVEN	Verification badge on a posting	section 2b and Amendment A1 both list the seven	CANDIDATE-1-OF-14 SCORE-10 _audit/2026-09-23-bucket1-fires.md
J 28	JOBCARD-OVERFLOW-MENU	RECON-DOC	_audit/_census/jobs.md	28, 24-30	GAP	GAP	Report a job as closed	STRENGTH: STRONG, AND THIS BLOCKER WAS TRIAGED "no source and no name match" BECAUSE EVERY MATCHER READ THE CAPABILITY COLUMN. The ledger publishes 2 rows, 2W, boundary WriteSpec. The recovery's section 47 files this blocker with ZERO candidates and routes it to "needs a document that names its rows". That routing is wrong, and the document it asked for is the census's own REASON column. AXIS 1, THE REASON CELL: jobs.md section 2, the rows 24-30 group, reads "... `report a job as closed` is the exception: a write behind a menu", and its direction cell reads "R (28, 30 are W)". So the census itself says row 28 is a WRITE BEHIND A MENU on a jobs surface -- which is this blocker's name restated, not a test invented to fit. AXIS 2, A COMMITTED SOURCE FILE DECLARES THIS BLOCKER'S SURFACES, AND IT SETTLES THE CARD-VERSUS-POSTING OBJECTION: scripts/_probe_jobs_tail_boundary.py carries "# 65 JOBCARD-OVERFLOW-MENU -- the menu is drawn on an admitted page" above TWO addresses, labelled "the search page the card menu is drawn on" and "a posting view, the other page a card menu is drawn on". The committed source asserts the card menu is drawn on the posting view too, so a menu write on a posting is inside this blocker's declared surface rather than evidence against it. AXIS 3, THE ONLY RIVAL IS EXTINGUISHED BY ITS OWN COUNT: REPORTING-FLOWS is the one other open blocker whose name covers a report verb, and it is COMPLETE at 1 of 1 holding M M38 "Report a message as spam"; it cannot take another row without tripping the over-count guard. AXIS 4, THE SPLIT CLOSES EXACTLY: 2W published, and after J 86 is excluded on its own capability text (below) exactly two W candidates remain. THE WEAK JOINT, NAMED SO A LATER READER CAN RE-OPEN IT RATHER THAN INHERIT IT SILENTLY: the census says "a menu", not "the job card's menu". The identification rests on axis 2 -- the committed probe's own statement of where this menu is drawn. If a later measurement finds a posting-level overflow menu DISTINCT from the card menu, this row is the one to re-examine first.	CANDIDATE-1-OF-7 SCORE-5 _audit/2026-09-19-the-empty-blockers.md
J 29	PANEL-NOT-OBSERVED	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L474,L1028	GAP	EXCLUDED-RULED	Skills Match insight ("x of y skills match your profile")	section 6 table plus Amendment A13	CANDIDATE-1-OF-9 SCORE-10 _audit/2026-09-03-linkedin-gap-blockers.md
J 30	PANEL-NOT-OBSERVED	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L474,L1028	GAP	EXCLUDED-RULED	Skills Match: add a missing skill from the insight	section 6 table plus Amendment A13	CANDIDATE-1-OF-9 SCORE-10 _audit/2026-09-03-linkedin-gap-blockers.md
J 31	JOB-ALERTS-SURFACE	RECON-DOC	scripts/_probe_jobs_tail_boundary.py	L49-L62	GAP	GAP	Create a job alert from a search	STRENGTH: STRONG, AND THE SOURCE IS A COMMITTED SOURCE FILE RATHER THAN AN AUDIT DOCUMENT -- a vein this recovery had not mined. The comment sits directly above the candidate addresses the probe actually exercised, so the row set is the thing the code was written against and not a later reconstruction of it. THE COMMENT: "# 36 JOB-ALERTS-SURFACE -- census rows J31-J36 and J41, all writes." It carries the ledger's ROW NUMBER (36), the blocker NAME, the ROW SET and the R/W CLAIM in one line. J31-J36 + J41 is SEVEN, the published count, and "all writes" is the published 7W. THIS ANSWERS A DECLINE I MADE EARLIER TODAY, ON ITS OWN TERMS. I refused this blocker at 11:02 because jobs.md section B holds NINE unassigned frozen-GAP rows against seven slots, and exactly seven of the nine read as writes -- but jobs.md CARRIES NO R/W COLUMN, so that split would have been my reading of capability text rather than a source's, which is the ground I had already refused the prose-marker vein on. The comment supplies precisely the missing thing: it names WHICH seven and it makes the write claim ITSELF. The split is no longer mine. AND IT IS CHECKABLE AGAINST THE CENSUS RATHER THAN TAKEN ON TRUST: rows 31-36 read Create an alert from a search, Create from a company Page, Edit, Delete / turn off, Set frequency, Set delivery channel -- six alert-family writes -- and 41 is Subscribe / unsubscribe the job-collections weekly digest, the seventh write and the one outside the contiguous run, which is why a range reader would have missed it and why the source naming it explicitly matters.	CANDIDATE-1-OF-13 SCORE-4 _audit/2026-09-20-the-surface-class.md
J 32	JOB-ALERTS-SURFACE	RECON-DOC	scripts/_probe_jobs_tail_boundary.py	L49-L62	GAP	GAP	Create a job alert from a company Page	as J 31 -- named in the same committed comment in scripts/_probe_jobs_tail_boundary.py, which carries the blocker's ledger row number, its name and its row set on one line.	CANDIDATE-1-OF-13 SCORE-4 _audit/2026-09-20-the-surface-class.md
J 33	JOB-ALERTS-SURFACE	RECON-DOC	scripts/_probe_jobs_tail_boundary.py	L49-L62	GAP	GAP	Edit an existing job alert	as J 31 -- named in the same committed comment in scripts/_probe_jobs_tail_boundary.py, which carries the blocker's ledger row number, its name and its row set on one line.	CANDIDATE-1-OF-13 SCORE-4 _audit/2026-09-20-the-surface-class.md
J 34	JOB-ALERTS-SURFACE	RECON-DOC	scripts/_probe_jobs_tail_boundary.py	L49-L62	GAP	GAP	Delete / turn off a job alert	as J 31 -- named in the same committed comment in scripts/_probe_jobs_tail_boundary.py, which carries the blocker's ledger row number, its name and its row set on one line.	CANDIDATE-1-OF-13 SCORE-4 _audit/2026-09-20-the-surface-class.md
J 35	JOB-ALERTS-SURFACE	RECON-DOC	scripts/_probe_jobs_tail_boundary.py	L49-L62	GAP	GAP	Set alert frequency (daily / weekly)	as J 31 -- named in the same committed comment in scripts/_probe_jobs_tail_boundary.py, which carries the blocker's ledger row number, its name and its row set on one line.	CANDIDATE-1-OF-13 SCORE-4 _audit/2026-09-20-the-surface-class.md
J 36	JOB-ALERTS-SURFACE	RECON-DOC	scripts/_probe_jobs_tail_boundary.py	L49-L62	GAP	GAP	Set alert delivery channel (email / app / both)	as J 31 -- named in the same committed comment in scripts/_probe_jobs_tail_boundary.py, which carries the blocker's ledger row number, its name and its row set on one line.	CANDIDATE-1-OF-13 SCORE-4 _audit/2026-09-20-the-surface-class.md
J 37	SERVED-BY-GMAIL-SKILL	RECON-DOC	_audit/2026-09-05-routes-already-admitted.md	L97	GAP	GAP	List and manage all alerts	the route table names the blocker per row alongside a dated gate reading	CANDIDATE-1-OF-18 SCORE-12 _audit/2026-09-20-the-contingent-writeoffs.md
J 38	SERVED-BY-GMAIL-SKILL	RECON-DOC	_audit/2026-09-05-routes-already-admitted.md	L98	GAP	GAP	Read the jobs an alert delivered	the route table names the blocker per row alongside a dated gate reading	CANDIDATE-1-OF-18 SCORE-12 _audit/2026-09-20-the-contingent-writeoffs.md
J 39	SERVED-BY-GMAIL-SKILL	RECON-DOC	_audit/_census/jobs.md	39	GAP	GAP	Read job recommendations ("Jobs you may be interested in")	STRENGTH: THE STRONGEST EVIDENCE SHAPE IN THIS RECOVERY -- A STRUCTURAL MARKER IN THE CENSUS'S OWN STATE COLUMN, NOT A NAME MATCH AND NOT PROSE. jobs.md tags rows the linkedin-jobs skill already serves by writing the state cell as GAP `SKILL`. Counted mechanically, EXACTLY SIX rows carry that state: J 37, J 38, J 39, J 40, J 57, J 131. The ledger publishes this blocker at 6. Two were already filed here; these four complete it. AND THE NEAR MISS IS EXCLUDED BY THE STATE RATHER THAN BY MY JUDGEMENT. A SEVENTH row carries the SKILL tag -- J 127, the InMail credit balance -- but its state reads MEASURED-ABSENT `SKILL`, not GAP `SKILL`. Counting the tag alone gives seven and misses the published six; counting the tag TOGETHER WITH THE STATE gives exactly six. The discriminator is in the data. jobs.md section 2 says the same thing in prose for five of them -- "37-40 | alert results, proximity | already served by the skill. Building a server path would duplicate it" and "57 | connections for a tracked job | served by the skill, from a better source" -- so the marker and the prose agree, which is corroboration rather than repetition because the marker is machine readable and the prose is not. NOTE WHAT THIS BLOCKER IS: the ledger files it NOT-OURS, "Available to him today through linkedin-jobs, with no LinkedIn session at all". Locating these rows does not schedule work; it records that six of the 409 are already served elsewhere, which is the opposite of a build item and is worth knowing for exactly that reason.	CANDIDATE-1-OF-18 SCORE-12 _audit/2026-09-20-the-contingent-writeoffs.md
J 40	SERVED-BY-GMAIL-SKILL	RECON-DOC	_audit/_census/jobs.md	40	GAP	CP	Read per-job network proximity ("2 connections", "1 company alum")	as J 39 -- same blocker, same evidence, and carrying the state or the R/W the ledger's published entry requires.	CANDIDATE-1-OF-18 SCORE-12 _audit/2026-09-20-the-contingent-writeoffs.md
J 41	JOB-ALERTS-SURFACE	RECON-DOC	scripts/_probe_jobs_tail_boundary.py	L49-L62	GAP	GAP	Subscribe / unsubscribe the job-collections weekly digest	as J 31 -- named in the same committed comment in scripts/_probe_jobs_tail_boundary.py, which carries the blocker's ledger row number, its name and its row set on one line.	CANDIDATE-1-OF-13 SCORE-4 _audit/2026-09-20-the-surface-class.md
J 42	JOB-COLLECTIONS-SURFACE	RECON-DOC	_audit/2026-09-19-read-tail.md	L181	GAP	COVERED-PROVEN	Job collections and their five groupings (Domains, Industries, Company Benefits, Editorial, Corporate Commitme	STRENGTH: STRONG despite published=1, and the strength is APPOSITION rather than count. `_audit/2026-09-19-read-tail.md:181` opens section 8 with "JOB-COLLECTIONS-SURFACE (J 42) is one row whose address was admitted by tests/test_school_and_collections_boundary.py with nothing behind it" -- the blocker name and the row id in apposition, as the section's subject, and the sentence states the blocker's size ("is one row") as well. The ledger publishes it at 1 row / 1R and J 42 is an R row, so count and split both close. NOTE the count axis is VACUOUS at published=1 -- any single mention closes it -- so it is named here as NOT the thing carrying this line; apposition plus the R/W match carry it. Distinguished deliberately from the three junk shapes this corpus produces at published=1 and which `_audit/2026-09-05-blocker-map.md` already enumerates: this is not an analogy, not a sentence bleed, and not a pointer cited as a set.	CANDIDATE-1-OF-8 SCORE-4 _audit/2026-09-19-read-tail.md
J 54	TRACKER-ROW-MENU	RECON-DOC	scripts/_probe_jobs_tail_boundary.py	L71-L78	GAP	GAP	Change a job's tracker stage manually	STRENGTH: STRONG, AND THE SOURCE IS A COMMITTED SOURCE FILE RATHER THAN AN AUDIT DOCUMENT -- a vein this recovery had not mined. The comment sits directly above the candidate addresses the probe actually exercised, so the row set is the thing the code was written against and not a later reconstruction of it. THE COMMENT: "# 62 TRACKER-ROW-MENU -- census rows J54-J56." Row number 62, blocker name, row set. J54-J56 is THREE, the published count, and the census reads Change a job's tracker stage manually, Add notes to a tracked job, Filter the tracker by date posted -- one tracker-row family. THE SPLIT IS NOT RE-DERIVED HERE. The ledger publishes 3W; this comment makes no R/W claim, so the count is the check being relied on and the split is taken from the ledger rather than re-read off capability text.	CANDIDATE-1-OF-7 SCORE-4 _audit/2026-09-05-jobs-tail.md
J 55	TRACKER-ROW-MENU	RECON-DOC	scripts/_probe_jobs_tail_boundary.py	L71-L78	GAP	GAP	Add notes to a tracked job	as J 54 -- named in the same committed comment in scripts/_probe_jobs_tail_boundary.py, which carries the blocker's ledger row number, its name and its row set on one line.	CANDIDATE-1-OF-7 SCORE-4 _audit/2026-09-05-jobs-tail.md
J 56	TRACKER-ROW-MENU	RECON-DOC	scripts/_probe_jobs_tail_boundary.py	L71-L78	GAP	GAP	Filter the tracker by date posted	as J 54 -- named in the same committed comment in scripts/_probe_jobs_tail_boundary.py, which carries the blocker's ledger row number, its name and its row set on one line.	CANDIDATE-1-OF-7 SCORE-4 _audit/2026-09-05-jobs-tail.md
J 57	SERVED-BY-GMAIL-SKILL	RECON-DOC	_audit/_census/jobs.md	57	GAP	GAP	View network connections reachable for a tracked job	as J 39 -- same blocker, same evidence, and carrying the state or the R/W the ledger's published entry requires.	CANDIDATE-1-OF-18 SCORE-12 _audit/2026-09-20-the-contingent-writeoffs.md
J 68	EASY-APPLY-MULTISTEP	RECON-DOC	_audit/_census/jobs.md	68	GAP	GAP	Save an application as a draft / resume one	STRENGTH: STRONG, AND THE ROW WAS ONLY EVER VISIBLE IN THE REASON CELL. The ledger publishes 1 row, 1W. jobs.md section 2 gives J 68 "draft save / resume" the direction W and the reason "the Easy Apply modal's own control; blocked behind the same multi-step gate as row 60" -- naming this blocker by its mechanism. AND ROW 60, THE OBVIOUS CANDIDATE, IS EXCLUDED BY THE DATA: J 60, the multi-step Easy Apply itself, is NOT IN THE FROZEN 409 -- it reads XR today and was not GAP at the freeze, so the builder would refuse it. J 68 is the only frozen-GAP row the multi-step gate blocks. THIS IS THE BLOCKER MY OWN MATCHER EMBARRASSED ITSELF ON. Reading only the capability column, it offered P B7 "#Hiring photo frame apply / remove" for EASY-APPLY-MULTISTEP, on the shared token "apply", and reported it as a UNIQUE fit. The real row shares no capability-text token with the blocker name at all. A search that cannot see the column its answer lives in will confidently return the nearest thing in the column it can see.	CANDIDATE-1-OF-9 SCORE-3 _audit/2026-09-05-jobs-tail.md
J 70	FILE-UPLOAD-UNSANCTIONED	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	GAP	GAP	Upload a NEW resume	section 5 item 1 lists all sixteen rows verbatim	CANDIDATE-1-OF-16 SCORE-7 _audit/2026-09-20-the-decides.md
J 71	JOBS-APPLICATION-FORBIDDEN	RECON-DOC	_audit/_census/jobs.md	69-71, 70-73 (section 2 grouping)	GAP	EXCLUDED-RULED	List / delete stored resumes (max 4)	STRENGTH: STRONG, AND IT IS THE LEXICAL MATCHER FROM REQUEST 2b APPLIED A SECOND TIME. That misroute taught that a blocker named for a MECHANISM is separated by that mechanism, not by direction. This blocker is named for a forbidden substring too, and the ledger's why states it: "/jobs/application is the FIRST entry on the forbidden tuple". THAT IS LITERALLY TRUE AND IT IS SHIPPED: readonly.py opens _FORBIDDEN_URL_SUBSTRINGS at line 1101 and "/jobs/application" is the very next line. THE LEXICAL TEST: which unassigned rows need an address carrying it? jobs.md section 2 answers for the whole run -- "70-73 | resume upload, list, delete, download, which-was-submitted | needs the JOB APPLICATION SETTINGS surface on the allowlist and a file-input driver". The Job Application Settings address carries /jobs/application. AND THE RUN SPLITS THE SAME WAY N 5 SPLIT FROM N 6-N 8. Section 2 names TWO blockers in one sentence -- the missing address AND a file-input driver. J 70 "Upload a NEW resume" is the row that needs the DRIVER and is already filed to FILE-UPLOAD-UNSANCTIONED. The three that remain need only the address: J 71 "List / delete stored resumes", J 72 "Download a stored resume", J 73 "See which resume was submitted for a given application". Three rows, three slots, one shared blocker. AND THE LEDGER'S OWN WHY CITES ROWS THAT ARE NOT ITS OWN, which is worth recording because it is the trap I nearly fell into this morning. It says "the same slice cites it as EXCLUDED-RULED for rows 74-77" -- and J 74, J 75, J 76 and J 77 are NOT IN THE FROZEN 409 at all. They are cited as PRECEDENT for the substring biting, not as this blocker's membership. A why that names row ids is not always naming its own rows.	CANDIDATE-1-OF-9 SCORE-3 _audit/2026-09-21-the-compound-rows.md
J 72	JOBS-APPLICATION-FORBIDDEN	RECON-DOC	_audit/_census/jobs.md	69-71, 70-73 (section 2 grouping)	GAP	GAP	Download a stored resume	as J 71 -- the same lexical partition. Section 2 names two blockers in one sentence, a missing ADDRESS and a file-input DRIVER; this row needs only the address, which carries /jobs/application, the first entry on readonly.py's forbidden tuple. J 70 needs the driver and is filed to FILE-UPLOAD-UNSANCTIONED.	CANDIDATE-1-OF-9 SCORE-3 _audit/2026-09-21-the-compound-rows.md
J 73	JOBS-APPLICATION-FORBIDDEN	RECON-DOC	_audit/_census/jobs.md	69-71, 70-73 (section 2 grouping)	GAP	EXCLUDED-RULED	See which resume was submitted for a given application	as J 71 -- the same lexical partition. Section 2 names two blockers in one sentence, a missing ADDRESS and a file-input DRIVER; this row needs only the address, which carries /jobs/application, the first entry on readonly.py's forbidden tuple. J 70 needs the driver and is filed to FILE-UPLOAD-UNSANCTIONED.	CANDIDATE-1-OF-9 SCORE-3 _audit/2026-09-21-the-compound-rows.md
J 78	UNASSIGNED	UNASSIGNED	scripts/_probe_jobs_tail_boundary.py	L63	GAP	GAP	Cover Letter Assistance (Premium AI drafting)	NAMED-UNFILEABLE -- named against PREMIUM-APPLY-SURFACES by scripts/_probe_jobs_tail_boundary.py:L63, the mark names 6 rows and the ledger publishes PREMIUM-APPLY-SURFACES at 5; filing them all would trip the over-count assertion, and filing 5 of 6 would be a CHOICE wearing a forced row's clothes	NO-BLOCKER-ASSIGNED
J 79	UNASSIGNED	UNASSIGNED	scripts/_probe_jobs_tail_boundary.py	L63	GAP	GAP	Mark a job "Top Choice" (Premium, 3/month)	NAMED-UNFILEABLE -- named against PREMIUM-APPLY-SURFACES by scripts/_probe_jobs_tail_boundary.py:L63, the mark names 6 rows and the ledger publishes PREMIUM-APPLY-SURFACES at 5; filing them all would trip the over-count assertion, and filing 5 of 6 would be a CHOICE wearing a forced row's clothes	NO-BLOCKER-ASSIGNED
J 80	UNASSIGNED	UNASSIGNED	scripts/_probe_jobs_tail_boundary.py	L63	GAP	GAP	Attach an optional message to the poster with a Top Choice mark	NAMED-UNFILEABLE -- named against PREMIUM-APPLY-SURFACES by scripts/_probe_jobs_tail_boundary.py:L63, the mark names 6 rows and the ledger publishes PREMIUM-APPLY-SURFACES at 5; filing them all would trip the over-count assertion, and filing 5 of 6 would be a CHOICE wearing a forced row's clothes	NO-BLOCKER-ASSIGNED
J 81	UNASSIGNED	UNASSIGNED	scripts/_probe_jobs_tail_boundary.py	L63	GAP	GAP	Verify account to raise the Easy Apply daily limit	NAMED-UNFILEABLE -- named against PREMIUM-APPLY-SURFACES by scripts/_probe_jobs_tail_boundary.py:L63, the mark names 6 rows and the ledger publishes PREMIUM-APPLY-SURFACES at 5; filing them all would trip the over-count assertion, and filing 5 of 6 would be a CHOICE wearing a forced row's clothes	NO-BLOCKER-ASSIGNED
J 82	UNASSIGNED	UNASSIGNED	scripts/_probe_jobs_tail_boundary.py	L63	GAP	GAP	Observe the Easy Apply daily limit / rate-pause state	NAMED-UNFILEABLE -- named against PREMIUM-APPLY-SURFACES by scripts/_probe_jobs_tail_boundary.py:L63, the mark names 6 rows and the ledger publishes PREMIUM-APPLY-SURFACES at 5; filing them all would trip the over-count assertion, and filing 5 of 6 would be a CHOICE wearing a forced row's clothes	NO-BLOCKER-ASSIGNED
J 83	UNASSIGNED	UNASSIGNED	scripts/_probe_jobs_tail_boundary.py	L63	GAP	GAP	Save voluntary self-identification answers for reuse	NAMED-UNFILEABLE -- named against PREMIUM-APPLY-SURFACES by scripts/_probe_jobs_tail_boundary.py:L63, the mark names 6 rows and the ledger publishes PREMIUM-APPLY-SURFACES at 5; filing them all would trip the over-count assertion, and filing 5 of 6 would be a CHOICE wearing a forced row's clothes	NO-BLOCKER-ASSIGNED
J 85	JOBCARD-OVERFLOW-MENU	RECON-DOC	_audit/_census/jobs.md	85, 85-86	GAP	GAP	Undo a dismissal	STRENGTH: STRONG, AND THE DISCRIMINATOR IS THE CENSUS PAIRING ITS OWN CAPABILITIES TO THEIR OWN SURFACES. AXIS 1, THE REASON CELL: jobs.md section 2's rows 85-86 group reads "undo a dismissal, 'I'm interested' | posting-card and company-page controls; both need a capture", direction W. Two capabilities against two surfaces, in order: 85 is the POSTING-CARD control. AXIS 2, THE ORDERING READ DOES NOT CARRY THE WEIGHT ALONE, WHICH MATTERS BECAUSE AN ORDERED READ IS AN INFERENCE: J 86 is independently excluded by its OWN capability text, which reads "privately signal interest in a COMPANY (max 50, expires 1 year)". The row says company; the cell says company-page. The two agree without appealing to word order, so J 85 takes the posting-card slot on evidence rather than on position. AXIS 3, NO RIVAL EXISTS: no blocker in the ledger is named for undo, dismissal or saved-job cards; SAVED-POSTS-SURFACE is content-scoped and COMPLETE at 2 of 2, and COMPANY-PAGE-SURFACE -- which is PARTIAL and could plausibly claim J 86 -- cannot claim a posting-card control. AXIS 4, THE SPLIT CLOSES EXACTLY: 2W published, J 28 and J 85 are both W, and they are the only two menu-writes left in the jobs pool once J 86 goes to the company page.	CANDIDATE-1-OF-7 SCORE-5 _audit/2026-09-19-the-empty-blockers.md
